block_number,block_timestamp,my_timestamp,timestamp_delta,tx_count,avg_gas_price,median_gas_price,q5_gas_price,q95_gas_price
5467248,1524123708,1524123718,10,219,19.90176010099903,20.0,3.0,59.218549603174544
5467249,1524123718,1524123739,21,142,21.829218447592186,9.950089629629623,3.0,55.0
5467250,1524123738,1524123749,11,247,11.971773520476267,4.0,3.0,50.0
5467251,1524123748,1524123766,18,224,9.713118953983532,4.0,1.0,55.0
5467252,1524123764,1524123773,9,221,15.710035822348305,5.0,3.0,55.0
5467253,1524123773,1524123795,22,204,12.793227815817907,5.0,3.0,50.0
5467254,1524123795,1524123804,9,125,21.541203488577796,10.41964814814815,4.0,52.22530397120928
5467255,1524123803,1524123862,59,33,33.5125605346026,50.0,0.0,55.0
5467256,1524123862,1524123888,26,271,25.962186760556158,21.5331951927745,1.0,57.1353690218349
5467257,1524123886,1524123892,6,142,15.057858552255224,8.451175490011607,4.1,50.0
5467258,1524123889,1524123895,6,165,12.660013875789895,5.284098922624878,3.0,27.663844387990757
5467259,1524123895,1524123902,7,127,6.774421017392766,3.0,2.0,31.284823288888887
5467260,1524123900,1524123907,7,174,6.529470430907775,3.0,2.0,30.49206787330315
5467261,1524123904,1524123924,20,188,7.609471412096464,2.0,2.0,38.6567181174089
5467262,1524123910,1524123939,29,201,6.799710307641994,3.0,1.0,30.0
5467263,1524123929,1524123954,25,211,10.409336703437372,3.327306977198674,2.0,31.09876069565216
5467264,1524123953,1524123974,21,219,49.85586483921876,50.0,30.0,91.0
5467265,1524123965,1524124000,35,144,10.28034344510491,5.0,4.0,40.0
5467266,1524123999,1524124010,11,151,26.92233318838777,17.0,5.0,55.0
5467267,1524124008,1524124013,5,154,9.840100286548354,4.0,4.0,20.978898291409585
5467268,1524124011,1524124027,16,189,4.478091145603046,3.0,2.002,13.610333224913127
5467269,1524124028,1524124044,16,37,53.56366235184531,55.0,23.870083876253272,88.1256036036035
5467270,1524124038,1524124061,23,211,8.715440880095628,5.0,3.0,35.0
5467271,1524124063,1524124079,16,209,12.529639889614929,4.0,3.0,59.80097818691769
5467272,1524124078,1524124093,15,159,25.619719794048383,5.0,4.0,55.0
5467273,1524124087,1524124096,9,174,7.689925033389117,3.0,2.0,50.0
5467274,1524124096,1524124123,27,218,6.47021146316158,3.0,2.0,39.097552469135756
5467275,1524124105,1524124135,30,105,6.699767441361273,4.2526463136166175,2.0,21.980952941176316
5467276,1524124115,1524124154,39,157,16.951103165289855,4.966593030303031,4.0,55.0
5467277,1524124152,1524124173,21,173,22.08477987430964,6.0,4.0,98.40945651315789
5467278,1524124172,1524124179,7,137,9.75141347100932,4.0,3.0,20.905048584131077
5467279,1524124179,1524124188,9,68,44.93859298889417,50.0,18.0,85.65257170504154
5467280,1524124182,1524124206,24,94,12.62758133459926,8.454004713607452,4.0,55.0
5467281,1524124206,1524124227,21,207,9.197836590665373,4.0,3.0,50.0
